Model,RMSE,Bias (mean),Std,Skew,Kurtosis (excess),Ljung-Box p (lag 10)
Linear Regression,0.0412,-0.0003,0.0413,-0.5769,4.5613,0.0
Lasso Regression,0.0543,0.0401,0.0366,-1.9205,14.1485,0.8407
Naive Baseline,0.0766,-0.0003,0.0768,-0.1908,2.0849,0.0
XGBoost,0.0772,0.0451,0.0628,-0.5777,3.4375,0.0
"LSTM-B (h=64,L=1,s=12)",0.0921,0.059,0.0709,-0.8065,4.9232,0.0
"GRU (h=64,L=2,s=12)",0.0933,0.0553,0.0754,-0.7262,4.0864,0.0
"LSTM-A (h=32,L=1,s=8)",0.0999,0.0676,0.0738,-0.4312,3.0051,0.0
"LSTM-C (h=64,L=2,s=12)",0.1003,0.0582,0.0819,0.0067,2.8962,0.0
Random Forest,0.1065,0.0854,0.0638,0.1195,1.7364,0.0
"LSTM-D (h=128,L=2,s=12)",0.1087,0.0771,0.0768,-0.559,4.1183,0.0
Ridge Regression,0.1119,0.102,0.0461,-1.4355,7.9837,0.0
MLP-Medium,0.1355,0.0394,0.13,0.312,0.0757,0.0
MLP-Large,0.1491,0.1105,0.1004,0.67,-0.1778,0.0
MLP-Small,0.1593,-0.0971,0.1266,0.0954,-0.1907,0.0
