,Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,MLP,LSTM-B,GRU
A1_lag1,0.728817,0.093681,0.776582,0.05854,0.314679,0.071585,0.039705,0.032049
A1_lag2,0.012667,0.019956,0.0,-0.000725,-0.003126,0.103533,0.028257,0.027806
A1_lag3,0.18391,-0.000746,0.0,-0.000385,0.008089,0.113441,0.056982,0.028559
A1_lag4,0.715001,0.088659,0.0,-0.000254,0.000895,0.075721,0.055922,0.021143
A1_lag8,0.09187,0.002982,0.0,0.000294,3.5e-05,0.01425,0.022673,0.01051
A1_lag12,0.008776,-0.000446,0.0,-9.1e-05,-0.000265,0.009456,0.014166,0.006636
A1_rolling_mean_4,0.279422,0.043232,0.0,-0.000197,-3.2e-05,0.063766,0.042304,0.025819
A1_rolling_std_4,9.5e-05,7.6e-05,4.4e-05,0.000714,0.000243,0.010811,0.001016,-0.000308
A1_rolling_mean_8,0.077587,0.043866,0.0,-0.0008,-0.00095,0.028727,0.030503,0.028585
A1_rolling_std_8,4.9e-05,4.1e-05,0.0,-0.000237,-0.00072,0.00397,0.004197,0.002371
A1_rolling_mean_12,0.181607,0.023283,0.0,-4.2e-05,-0.000671,0.060882,0.031598,0.000972
A1_rolling_std_12,0.000769,0.000647,8.3e-05,-0.00011,8.2e-05,0.001337,0.000753,0.00229
A1_diff_1,0.004643,0.03145,0.055946,0.011553,0.021617,0.028454,0.02184,0.070613
A1_diff_4,0.199948,0.047859,0.001896,0.003143,0.002153,0.028745,0.039018,0.029513
A1_pct_change_1,0.000524,0.00032,0.0,0.013768,0.011955,0.005367,0.010766,0.029801
A1_pct_change_4,0.003026,0.002035,0.0,0.003933,0.000149,0.005093,0.011788,0.01046
month,1.7e-05,4.7e-05,0.0,0.000162,-0.000502,0.014201,-0.001868,0.012292
quarter,0.000654,0.000626,0.0,0.00025,-5e-06,0.002362,-0.001141,0.001258
year,-1.1e-05,-0.00051,-0.000311,0.0,0.0,-0.010694,-0.001918,0.000765
week_of_year,0.000321,0.000255,2.9e-05,0.001163,0.00288,0.00368,0.003379,-0.000927
month_sin,0.000333,0.000311,0.00012,-0.00021,0.000204,0.014309,0.000329,0.002936
month_cos,0.000963,0.001339,0.000454,0.00052,2e-05,0.053565,0.00217,0.00094
R1_lag1,0.718449,0.101602,0.000319,0.337433,0.325025,0.064918,0.04181,0.036779
M1_lag1,0.130258,0.075598,1.2e-05,0.058139,0.028306,0.021427,0.041975,0.022789
P1_lag1,0.28639,0.062736,6.3e-05,0.042852,0.05407,0.01807,0.035917,0.03409
D1_lag1,0.02093,0.020639,0.014532,0.102862,0.010847,-0.002078,0.065551,0.022491
